来源,所属区域,文章标题,发布日期,详情链接,抓取日期
EnergyStorageNews,大洋洲,Genesis Energy greenlights ‘lowest cost’ grid-scale BESS in New Zealand,2026-04-21,https://www.energy-storage.news/genesis-energy-greenlights-lowest-cost-grid-scale-bess-in-new-zealand/,2026-04-21
Electrive,全球/其他,‘We always aim to offer the fastest and latest technology’ – Ionity CSO Meta Kessler,2026-04-21,https://www.electrive.com/2026/04/21/we-always-aim-to-offer-the-fastest-and-latest-technology-ionity-cso-meta-kessler/,2026-04-22
Electrive,东亚,Korean charging provider Chaevi goes public,2026-04-21,https://www.electrive.com/2026/04/21/korean-charging-provider-chaevi-goes-public/,2026-04-22
Electrive,全球/其他,PG&E and Tesla integrate Cybertruck into V2G programme,2026-04-21,https://www.electrive.com/2026/04/21/pge-and-tesla-integrate-cybertruck-into-v2g-programme/,2026-04-22
PowerTechnology,全球/其他,"New episode: Earth Day – electric vehicles across power, oil and gas and mining",2026-04-21,https://www.power-technology.com/news/new-episode-earth-day-electric-vehicles-energy/,2026-04-22
PowerTechnology,全球/其他,Construction begins on Spittal-Peterhead subsea cable link,2026-04-21,https://www.power-technology.com/news/construction-begins-spittal-peterhead-subsea-cable-link/,2026-04-22
PowerTechnology,全球/其他,IEA warns AI could double data centre power use by 2030,2026-04-21,https://www.power-technology.com/news/iea-warns-ai-could-double-data-centre-power-use-by-2030/,2026-04-22
PowerTechnology,大洋洲,ANDRITZ wins major hydropower upgrade contract in New Zealand,2026-04-21,https://www.power-technology.com/news/andritz-wins-major-hydropower-upgrade-contract-in-new-zealand/,2026-04-22
PowerTechnology,全球/其他,LS Power to construct new underground transmission line,2026-04-21,https://www.power-technology.com/news/ls-power-construct-transmission-line/,2026-04-22
PowerTechnology,全球/其他,Van Oord finalises foundation installation for Baltic Power project,2026-04-21,https://www.power-technology.com/news/van-oord-foundation-installation-baltic/,2026-04-22
PowerTechnology,东欧,EBRD provides $82m for solar and BESS project in Hungary,2026-04-21,https://www.power-technology.com/news/ebrd-82m-solar-and-bess-project-hungary/,2026-04-22
EnergyStorageNews,全球/其他,Meta reserves up to 100GWh of US ‘multi-day’ energy storage startup Noon Energy’s technology,2026-04-21,https://www.energy-storage.news/meta-reserves-up-to-100gwh-of-us-multi-day-energy-storage-startup-noon-energys-technology/,2026-04-22
EnergyStorageNews,北欧,"Ingrid Capacity launching 600MWh of new Sweden projects, including first 4-hour system",2026-04-21,https://www.energy-storage.news/ingrid-capacity-launching-600mwh-of-new-sweden-projects-including-first-4-hour-system/,2026-04-22
EnergyStorageNews,拉丁美洲,"Copenhagen Infrastructure Partners begins construction on 1,500MWh Chile BESS",2026-04-21,https://www.energy-storage.news/copenhagen-infrastructure-partners-begins-construction-on-1500mwh-chile-bess/,2026-04-22
EnergyStorageNews,大洋洲,Australia’s PowerPlus Energy to triple battery module production capacity to 150MWh with ARENA funding,2026-04-21,https://www.energy-storage.news/australias-powerplus-energy-to-triple-battery-module-production-capacity-to-150mwh-with-arena-funding/,2026-04-22
PVMagazine,全球/其他,A closer look at EcoFlow’s three-phase Ocean 2 storage solution,2026-04-21,https://www.pv-magazine.com/2026/04/21/a-closer-look-at-ecoflows-three-phase-ocean-2-storage-solution/,2026-04-22
PVMagazine,北非及中东,Inside PV Manufacturing: United Solar’s polysilicon factory in Oman,2026-04-21,https://www.pv-magazine.com/2026/04/21/inside-pv-manufacturing-united-solars-polysilicon-factory-in-oman/,2026-04-22
PVMagazine,南亚,Bangladesh opens public land to utility-scale solar under PPP model,2026-04-21,https://www.pv-magazine.com/2026/04/21/bangladesh-opens-public-land-to-utility-scale-solar-under-ppp-model/,2026-04-22
PVMagazine,全球/其他,European electricity prices increase despite falling gas prices,2026-04-21,https://www.pv-magazine.com/2026/04/21/european-electricity-prices-increase-despite-falling-gas-prices/,2026-04-22
PVMagazine,全球/其他,How to operate PV-driven residential heat pumps under time-varying tariffs,2026-04-21,https://www.pv-magazine.com/2026/04/21/how-to-operate-pv-driven-residential-heat-pumps-under-time-varying-tariffs/,2026-04-22
PVMagazine,全球/其他,"The world added 605 GW of new PV capacity in 2025, says IEA",2026-04-21,https://www.pv-magazine.com/2026/04/21/the-world-added-605-gw-of-new-pv-capacity-in-2025-says-iea/,2026-04-22
PVMagazine,西欧,UK tries to break gas link with voluntary long-term fixed price contracts for all renewables,2026-04-21,https://www.pv-magazine.com/2026/04/21/uk-tries-to-break-gas-link-with-voluntary-long-term-fixed-price-contracts-for-all-renewables/,2026-04-22
PVMagazine,全球/其他,Rongke Power debuts 2 MW/8 MWh vanadium flow battery storage system,2026-04-21,https://www.pv-magazine.com/2026/04/21/rongke-power-debuts-2-mw-8-mwh-vanadium-flow-battery-storage-system/,2026-04-22
PVMagazine,全球/其他,Fabricating perovskite solar cells with robotic boxes,2026-04-21,https://www.pv-magazine.com/2026/04/21/fabricating-perovskite-solar-cells-with-robotic-boxes/,2026-04-22
PVMagazine,全球/其他,"Control, not capacity, could be the next driver of US residential storage investment",2026-04-21,https://www.pv-magazine.com/2026/04/21/control-not-capacity-could-be-the-next-driver-of-us-residential-storage-investment/,2026-04-22
PVMagazine,全球/其他,Insurance premiums trending down despite severe weather threat for solar,2026-04-21,https://www.pv-magazine.com/2026/04/21/insurance-premiums-trending-down-despite-severe-weather-threat-for-solar/,2026-04-22
PVMagazine,北美,"Permitting headwinds, geopolitics drive North American solar PPA prices higher in Q1",2026-04-21,https://www.pv-magazine.com/2026/04/21/permitting-headwinds-geopolitics-drive-north-american-solar-ppa-prices-higher-in-q1/,2026-04-22
PVMagazine,全球/其他,Tandem PV launches commercial perovskite-silicon manufacturing in California,2026-04-21,https://www.pv-magazine.com/2026/04/21/tandem-pv-launches-commercial-perovskite-silicon-manufacturing-in-california/,2026-04-22
PVTech,全球/其他,Advocacy groups petition California Supreme Court over NEM 3,2026-04-21,https://www.pv-tech.org/advocacy-groups-petition-california-supreme-court-over-nem-3/,2026-04-22
PVTech,全球/其他,ILOS secures US$530 million facility to scale European solar PV and BESS pipeline,2026-04-21,https://www.pv-tech.org/ilos-secures-us530-million-facility-to-scale-european-solar-pv-and-bess-pipeline/,2026-04-22
PVTech,全球/其他,Sterling and Wilson to build 875MW solar project in Rajasthan,2026-04-21,https://www.pv-tech.org/sterling-and-wilson-to-build-875mw-solar-project-in-rajasthan/,2026-04-22
PVTech,全球/其他,Global solar generation met three-quarters of new power demand in 2025 — Ember,2026-04-21,https://www.pv-tech.org/global-solar-generation-met-three-quarters-of-new-power-demand-in-2025-ember/,2026-04-22
PVTech,全球/其他,"Caelux, Tandem PV announce progress on US perovskite solar modules",2026-04-21,https://www.pv-tech.org/caelux-tandem-pv-announce-progress-on-us-perovskite-solar-modules/,2026-04-22
