来源,所属区域,文章标题,发布日期,详情链接
SolarQuarter,全球/其他,"Actis Completes Sale Of Orygen, Peru’s Second-Largest And Most Diversified Power Producer, To Grupo Romero’s InfraCorp Platform",2026-03-13,https://solarquarter.com/2026/03/13/actis-completes-sale-of-orygen-perus-second-largest-and-most-diversified-power-producer-to-grupo-romeros-infracorp-platform/
SolarQuarter,全球/其他,European Investment Bank approves Up To USD 95 million To Finance ATOME PLC’s Villeta Green Hydrogen Fertiliser Plant In Paraguay,2026-03-13,https://solarquarter.com/2026/03/13/european-investment-bank-approves-up-to-usd-95-million-to-finance-atome-plcs-villeta-green-hydrogen-fertiliser-plant-in-paraguay/
SolarQuarter,全球/其他,Top Stories Of The Day: Draft Consumer Rights Rules Boost Solar & Storage; CERC Clears ₹11.88 Cr Solar Compensation and More…,2026-03-13,https://solarquarter.com/2026/03/13/top-stories-of-the-day-draft-consumer-rights-rules-boost-solar-storage-cerc-clears-%e2%82%b911-88-cr-solar-compensation-and-more/
SolarQuarter,全球/其他,"SunPower Inc. completes Integration Of Sunder Energy, Marking A Major Step In Its Long-Term Operational Growth Strategy",2026-03-13,https://solarquarter.com/2026/03/13/sunpower-inc-completes-integration-of-sunder-energy-marking-a-major-step-in-its-long-term-operational-growth-strategy/
SolarQuarter,全球/其他,Bahrain Launches International Tender For 100 MW Bilaj Al Jazayer Solar Power Project,2026-03-13,https://solarquarter.com/2026/03/13/bahrain-launches-international-tender-for-100-mw-bilaj-al-jazayer-solar-power-project/
SolarQuarter,南亚,Advait Energy Transitions Launches 30 MW Electrolyzer Facility To Support India’s Green Hydrogen Mission,2026-03-13,https://solarquarter.com/2026/03/13/advait-energy-transitions-launches-30-mw-electrolyzer-facility-to-support-indias-green-hydrogen-mission/
SolarQuarter,全球/其他,Sealed Air Partners With VSB Group To Build 751 kWp Rooftop Solar Plant At Its Alsfeld Facility Under A 20-year On-Site PPA,2026-03-13,https://solarquarter.com/2026/03/13/sealed-air-partners-with-vsb-group-to-build-751-kwp-rooftop-solar-plant-at-its-alsfeld-facility-under-a-20-year-on-site-ppa/
SolarQuarter,东南亚,MGEN Expands Mterra Solar Project With 3.5 GW Capacity And Battery Storage To Strengthen The Philippines Energy Security,2026-03-13,https://solarquarter.com/2026/03/13/mgen-expands-mterra-solar-project-with-3-5-gw-capacity-and-battery-storage-to-strengthen-the-philippines-energy-security/
SolarQuarter,南亚,P3C Technology and Solutions Launches Perovskite Validation Platform in India to Advance Next-Generation Solar Technology,2026-03-13,https://solarquarter.com/2026/03/13/p3c-technology-and-solutions-launches-perovskite-validation-platform-in-india-to-advance-next-generation-solar-technology/
SolarQuarter,全球/其他,Resonia Appoints Prashant Sinha as Chief Executive Officer,2026-03-13,https://solarquarter.com/2026/03/13/resonia-appoints-prashant-sinha-as-chief-executive-officer/
SolarQuarter,全球/其他,Edify Receives Approval for Burroway Solar Farm Project in New South Wales,2026-03-13,https://solarquarter.com/2026/03/13/edify-receives-approval-for-burroway-solar-farm-project-in-new-south-wales/
SolarQuarter,北非及中东,Venus Secures Financing From Banque Misr To Expand Cairo 3A Hybrid Solar Project In Egypt,2026-03-13,https://solarquarter.com/2026/03/13/venus-secures-financing-from-banque-misr-to-expand-cairo-3a-hybrid-solar-project-in-egypt/
SolarQuarter,南亚,India’s Energy Storage Market Surges as IESA Prepares to Launch White Paper at SESI 2026,2026-03-13,https://solarquarter.com/2026/03/13/indias-energy-storage-market-surges-as-iesa-prepares-to-launch-white-paper-at-sesi-2026/
SolarQuarter,东非,Kenya Faces Rising Power Cuts As Grid Struggles To Meet Surging Electricity Demand,2026-03-13,https://solarquarter.com/2026/03/13/kenya-faces-rising-power-cuts-as-grid-struggles-to-meet-surging-electricity-demand/
SolarQuarter,东欧,"Airengy Tech Ltd. to Acquire Six Solar Projects In Poland Worth €23.7 Million, Marking Its First Move Into Income-Generating Energy Assets",2026-03-13,https://solarquarter.com/2026/03/13/airengy-tech-ltd-to-acquire-six-solar-projects-in-poland-worth-e23-7-million-marking-its-first-move-into-income-generating-energy-assets/
SolarQuarter,北非及中东,Week in MiddleEast: Nofar Acquires 1 GW Solar Portfolio; GoodWe Promotes C&I Solar Storage in MENA and More…,2026-03-13,https://solarquarter.com/2026/03/13/week-in-middleeast-nofar-acquires-1-gw-solar-portfolio-goodwe-promotes-ci-solar-storage-in-mena-and-more/
SolarQuarter,南亚,CMPDI Deploys Advanced Drone Mapping to Support Coal India’s Solar Development Strategy in Bundelkhand,2026-03-13,https://solarquarter.com/2026/03/13/cmpdi-deploys-advanced-drone-mapping-to-support-coal-indias-solar-development-strategy-in-bundelkhand/
SolarQuarter,北非及中东,EBRD Considers €40 Million Loan For Solar And Battery Storage Project In Tunisia,2026-03-13,https://solarquarter.com/2026/03/13/ebrd-considers-e40-million-loan-for-solar-and-battery-storage-project-in-tunisia/
SolarQuarter,跨区域,Japan Explores Green Hydrogen Imports From New Zealand To Strengthen Clean Energy Partnership,2026-03-13,https://solarquarter.com/2026/03/13/japan-explores-green-hydrogen-imports-from-new-zealand-to-strengthen-clean-energy-partnership/
SolarQuarter,全球/其他,European Bank For Reconstruction And Development Approves €15 million loan To Upgrade Montenegro’s 220 kV Transmission line And Boost Regional Energy Connectivity,2026-03-13,https://solarquarter.com/2026/03/13/european-bank-for-reconstruction-and-development-approves-e15-million-loan-to-upgrade-montenegros-220-kv-transmission-line-and-boost-regional-energy-connectivity/
SolarQuarter,东亚,Japan Launches World’s First Hydrogen Fuel Supply System For Power Generation,2026-03-13,https://solarquarter.com/2026/03/13/japan-launches-worlds-first-hydrogen-fuel-supply-system-for-power-generation/
SolarQuarter,全球/其他,World Bank Approves $1 Billion REMIT Program To Build Central Asia’s First Regional Electricity Market,2026-03-13,https://solarquarter.com/2026/03/13/world-bank-approves-1-billion-remit-program-to-build-central-asias-first-regional-electricity-market/
SolarQuarter,全球/其他,"EBRD Board Delegation Visits Uzbekistan, Pledges Continued Support For Sustainable Growth",2026-03-13,https://solarquarter.com/2026/03/13/ebrd-board-delegation-visits-uzbekistan-pledges-continued-support-for-sustainable-growth/
