来源,所属区域,文章标题,发布日期,详情链接,抓取日期
Electrive,北美,USA: BMW introduces discounted charging rates at Ionna network,2026-05-18,https://www.electrive.com/2026/05/18/usa-bmw-introduces-discounted-charging-rates-at-ionna-network/,2026-05-25
PowerTechnology,南欧,European Energy begins work on Italy’s 225.5MW agrivoltaic project,2026-05-18,https://www.power-technology.com/news/european-energy-begins-work-italys-agrivoltaic-project/,2026-05-25
PowerTechnology,南欧,Ingeteam delivers 200MW battery storage hub for Italy,2026-05-18,https://www.power-technology.com/news/ingeteam-delivers-200mw-battery-storage-hub-for-italy/,2026-05-25
PowerTechnology,全球/其他,CIM Group unveils Permanent Power Company with $400m support,2026-05-18,https://www.power-technology.com/news/cim-unveils-permanent-power-company/,2026-05-25
PowerTechnology,全球/其他,"Tallgrass, Mitsubishi allocate M501JAC turbines to Cheyenne Power Hub",2026-05-18,https://www.power-technology.com/news/tallgrass-mitsubishi-allocate-m501jac-cheyenne-hub/,2026-05-25
PowerTechnology,全球/其他,"ASL selects AGL, Enel X for 532MW of new NSW firming capacity",2026-05-18,https://www.power-technology.com/news/asl-selects-agl-enel-x/,2026-05-25
EnergyStorageNews,全球/其他,Non-lithium players Eos and ESS lean on future of US LDES deployment in Q1 2026 financials,2026-05-18,https://www.energy-storage.news/non-lithium-players-eos-and-ess-lean-on-future-of-us-ldes-deployment-in-q1-2026-financials/,2026-05-25
EnergyStorageNews,全球/其他,"Canadian Solar plans to double battery cell and BESS manufacturing capacity, new CEO says",2026-05-18,https://www.energy-storage.news/canadian-solar-plans-to-double-battery-cell-and-bess-manufacturing-capacity-new-ceo-says/,2026-05-25
EnergyStorageNews,大洋洲,"Australia hits 400,000 home battery installations with 11.2GWh capacity in under a year",2026-05-18,https://www.energy-storage.news/australia-hits-400000-home-battery-installations-with-11-2gwh-capacity-in-under-a-year/,2026-05-25
PVMagazine,东亚,Taiwan shifting to regionalized approach for solar permitting,2026-05-18,https://www.pv-magazine.com/2026/05/18/taiwan-shifting-to-regionalized-approach-for-solar-permitting/,2026-05-25
