来源,所属区域,文章标题,发布日期,详情链接,抓取日期
Electrive,全球/其他,"Zest to install more than 4,000 charge points in Thurrock",2026-04-20,https://www.electrive.com/2026/04/20/zest-to-install-more-than-4000-charge-points-in-thurrock/,2026-04-21
Electrive,全球/其他,DCS introduces fixed charging tariffs with preferred partners,2026-04-20,https://www.electrive.com/2026/04/20/dcs-introduces-fixed-charging-tariffs-with-preferred-partners/,2026-04-21
Electrive,东亚,China: Seres joins BMW and Mercedes-Benz in high-power charging JV,2026-04-20,https://www.electrive.com/2026/04/20/china-seres-joins-bmw-and-mercedes-benz-in-high-power-charging-jv/,2026-04-21
Electrive,西欧,"France targets 30,000 fast chargers for cars and trucks",2026-04-20,https://www.electrive.com/2026/04/20/france-targets-30000-fast-chargers-for-cars-and-trucks/,2026-04-21
PowerTechnology,拉丁美洲,CIP approves start of construction at Patache project in Chile,2026-04-20,https://www.power-technology.com/news/cip-start-of-construction-patache-project-chile/,2026-04-21
PowerTechnology,北欧,Sweden backs nuclear expansion plan,2026-04-20,https://www.power-technology.com/news/sweden-backs-nuclear-expansion-plan/,2026-04-21
PowerTechnology,全球/其他,Renewables power generation overtakes gas in US,2026-04-20,https://www.power-technology.com/news/renewables-power-generation-overtakes-gas-in-us/,2026-04-21
PowerTechnology,全球/其他,Hitachi Energy to supply automation solutions for RWE wind project,2026-04-20,https://www.power-technology.com/news/hitachi-energy-to-supply-automation/,2026-04-21
PowerTechnology,全球/其他,Acwa and SPPC sign agreement for Rabigh 2 expansion project,2026-04-20,https://www.power-technology.com/news/acwa-sppc-agreement-rabigh-2-expansion/,2026-04-21
PowerTechnology,全球/其他,Premier Energy to buy Evryo Group for $823m,2026-04-20,https://www.power-technology.com/news/premier-energy-to-buy-evryo-group-823m/,2026-04-21
EnergyStorageNews,全球/其他,US ROUNDUP: BESS developers highlight ‘bring your own capacity’ model in data centre announcements,2026-04-20,https://www.energy-storage.news/us-roundup-bess-developers-highlight-bring-your-own-capacity-model-in-data-centre-announcements/,2026-04-21
EnergyStorageNews,东亚,"HDRE, Tokyo Gas sign 150MW BESS deal in Japan as trading, curtailment and disaster relief drive use cases in growing market",2026-04-20,https://www.energy-storage.news/hdre-tokyo-gas-sign-150mw-bess-deal-in-japan-as-trading-curtailment-and-disaster-relief-drive-use-cases-in-growing-market/,2026-04-21
EnergyStorageNews,大洋洲,Pacific Energy to deliver 81MWh battery storage systems to Australia’s Northern Territory,2026-04-20,https://www.energy-storage.news/pacific-energy-to-deliver-81mwh-battery-storage-systems-to-australias-northern-territory/,2026-04-21
EnergyStorageNews,大洋洲,CleanPeak acquires sub-5MW solar and battery storage specialist Sustainable Energy Infrastructure in Australia,2026-04-20,https://www.energy-storage.news/cleanpeak-acquires-sub-5mw-solar-and-battery-storage-specialist-sustainable-energy-infrastructure-in-australia/,2026-04-21
EnergyStorageNews,大洋洲,Recurrent Energy’s 600MWh Sundown Energy Park clears Australia’s rigorous grid connection process,2026-04-20,https://www.energy-storage.news/recurrent-energys-600mwh-sundown-energy-park-clears-australias-rigorous-grid-connection-process/,2026-04-21
PVMagazine,全球/其他,California powers its massive water pumps with 105 MW solar project,2026-04-20,https://www.pv-magazine.com/2026/04/20/california-powers-its-massive-water-pumps-with-105-solar-project/,2026-04-21
PVMagazine,东南亚,Philippines adds 899 MW of solar in 2025,2026-04-20,https://www.pv-magazine.com/2026/04/20/philippines-adds-899-mw-of-solar-in-2025/,2026-04-21
PVMagazine,东亚,Jinko Power enters data center business with 1 GW project in China,2026-04-20,https://www.pv-magazine.com/2026/04/20/jinko-power-enters-data-center-business-with-1-gw-project-in-china/,2026-04-21
PVMagazine,南欧,Italy launches tender for 30 MW of floating PV,2026-04-20,https://www.pv-magazine.com/2026/04/20/italy-launches-tender-for-30-mw-of-floating-pv/,2026-04-21
PVMagazine,全球/其他,Negative power prices reach all-time high on the Iberian Peninsula in Q1,2026-04-20,https://www.pv-magazine.com/2026/04/20/negative-power-prices-all-time-high-on-the-iberian-peninsula-in-q1/,2026-04-21
PVMagazine,全球/其他,A closer look at CATL’s new sodium-ion battery,2026-04-20,https://www.pv-magazine.com/2026/04/20/a-closer-look-at-catls-new-sodium-ion-battery/,2026-04-21
PVMagazine,全球/其他,Samsung launches residential air-to-water heat pump reaching SCOP of up to 4.9,2026-04-20,https://www.pv-magazine.com/2026/04/20/samsung-launches-residential-air-to-water-heat-pump-reaching-scop-of-up-to-4-9/,2026-04-21
PVMagazine,全球/其他,Could global warming improve heat pump efficiency in Alpine regions?,2026-04-20,https://www.pv-magazine.com/2026/04/20/could-global-warming-improve-heat-pump-efficiency-in-alpine-regions/,2026-04-21
PVMagazine,全球/其他,Solar rebound effect could raise Europe’s electricity demand 5% by 2050,2026-04-20,https://www.pv-magazine.com/2026/04/20/solar-rebound-effect-could-raise-europes-electricity-demand-5-by-2050/,2026-04-21
PVMagazine,全球/其他,Cyber threats for PV: What are cloud platform and software-as-a-service exploitation attacks and how do they work,2026-04-20,https://www.pv-magazine.com/2026/04/20/cyber-threats-for-pv-what-are-cloud-platform-and-software-as-a-service-exploitation-attacks-and-how-do-they-work/,2026-04-21
PVMagazine,东亚,Low-pressure hydrogen bridges seasonal gaps in solar-powered Japanese building,2026-04-20,https://www.pv-magazine.com/2026/04/20/low-pressure-hydrogen-bridges-seasonal-gaps-in-solar-powered-japanese-building/,2026-04-21
PVMagazine,全球/其他,TBEA launches 500 kW string inverter,2026-04-20,https://www.pv-magazine.com/2026/04/20/tbea-launches-500-kw-string-inverter/,2026-04-21
