来源,所属区域,文章标题,发布日期,详情链接,抓取日期
PVTech,南欧,How Sonnedix secured capacity in Italy’s ‘crucial’ FER X auction,2026-04-15,https://www.pv-tech.org/how-sonnedix-secured-capacity-italys-crucial-fer-x-auction/,2026-04-16
PVTech,全球/其他,"Tongwei and Daqo shares rally on polysilicon regulatory rumours, prices stay depressed",2026-04-15,https://www.pv-tech.org/tongwei-and-daqo-shares-rally-on-polysilicon-regulatory-rumours-prices-stay-depressed/,2026-04-16
PVTech,全球/其他,European solar must ‘embrace volatility’ (and energy storage),2026-04-15,https://www.pv-tech.org/european-solar-must-embrace-volatility-and-energy-storage/,2026-04-16
PVTech,全球/其他,"Jupiter, Ampin open 1.3GW solar cell and module facility in Odisha",2026-04-15,https://www.pv-tech.org/jupiter-ampin-open-1-3gw-solar-cell-and-module-facility-in-odisha/,2026-04-16
PVTech,全球/其他,Suniva boosts US cell production to 5.5GW with new facility,2026-04-15,https://www.pv-tech.org/suniva-boosts-us-cell-production-to-5-5gw-with-new-facility/,2026-04-16
PVTech,全球/其他,R.Power secures funds for 80MW Polish PV plant,2026-04-15,https://www.pv-tech.org/r-power-secures-funds-for-80mw-polish-pv-plant/,2026-04-16
EnergyCapitalPow,非洲南部,Azule Energy to Open Permanent Namibia Office in Mid-2026,2026-04-15,https://energycapitalpower.com/azule-energy-to-open-permanent-namibia-office-in-mid-2026/,2026-04-16
EnergyCapitalPow,全球/其他,AfDB Announces $20M Support for Early-Stage Green Hydrogen Projects,2026-04-15,https://energycapitalpower.com/afdb-announces-20m-support-for-early-stage-green-hydrogen-projects/,2026-04-16
EnergyCapitalPow,东非,Maurel & Prom’s New Mnazi Bay Find Strengthens Tanzania’s Gas Expansion Strategy,2026-04-15,https://energycapitalpower.com/maurel-proms-new-mnazi-bay-find-strengthens-tanzanias-gas-expansion-strategy/,2026-04-16
EnergyCapitalPow,非洲南部,Chevron Plans Nabba-1X Well in Namibia’s Orange Basin PEL 90 by Late 2026,2026-04-15,https://energycapitalpower.com/chevron-plans-nama-1x-well-in-namibias-orange-basin-pel-90-by-late-2026/,2026-04-16
EnergyCapitalPow,全球/其他,AMEA Power to Deploy 2.7GW of Clean Capacity via New World Bank Partnership,2026-04-15,https://energycapitalpower.com/amea-power-to-deploy-2-7gw-of-clean-capacity-via-new-world-bank-partnership/,2026-04-16
RenewEconomy,大洋洲,“Significant” out-of-control fire at major oil refinery – one of two in Australia,2026-04-15,https://reneweconomy.com.au/significant-out-of-control-fire-at-major-oil-refinery-one-of-two-in-australia/?utm_source=rss&utm_medium=rss&utm_campaign=significant-out-of-control-fire-at-major-oil-refinery-one-of-two-in-australia,2026-04-16
RenewEconomy,东亚,World’s biggest co-located wind and solar project begins operations in China,2026-04-15,https://reneweconomy.com.au/worlds-biggest-co-located-wind-and-solar-project-begins-operations-in-china/?utm_source=rss&utm_medium=rss&utm_campaign=worlds-biggest-co-located-wind-and-solar-project-begins-operations-in-china,2026-04-16
RenewEconomy,全球/其他,Aluminium manufacturer wins funds to replace 40 year-old gas furnace with fully electric system,2026-04-15,https://reneweconomy.com.au/aluminium-manufacturer-wins-funds-to-replace-40-year-old-gas-furnace-with-fully-electric-system/?utm_source=rss&utm_medium=rss&utm_campaign=aluminium-manufacturer-wins-funds-to-replace-40-year-old-gas-furnace-with-fully-electric-system,2026-04-16
RenewEconomy,大洋洲,Construction starts on biggest battery in Australia’s most advanced renewable grid,2026-04-15,https://reneweconomy.com.au/construction-starts-on-biggest-battery-in-australias-most-advanced-renewable-grid/?utm_source=rss&utm_medium=rss&utm_campaign=construction-starts-on-biggest-battery-in-australias-most-advanced-renewable-grid,2026-04-16
RenewEconomy,大洋洲,Batteries included: Amazon makes record haul of hybrid renewable PPAs to power Australian AI push,2026-04-15,https://reneweconomy.com.au/batteries-included-amazon-makes-record-haul-of-hybrid-renewable-ppas-to-power-australian-ai-push/?utm_source=rss&utm_medium=rss&utm_campaign=batteries-included-amazon-makes-record-haul-of-hybrid-renewable-ppas-to-power-australian-ai-push,2026-04-16
