来源,所属区域,文章标题,发布日期,详情链接,抓取日期
RenewEconomy,全球/其他,"Banks are no longer financing the energy transition on faith, and are declining deals they once would do",2026-05-15,https://reneweconomy.com.au/banks-are-no-longer-financing-the-energy-transition-on-faith-and-are-declining-deals-they-once-would-do/?utm_source=rss&utm_medium=rss&utm_campaign=banks-are-no-longer-financing-the-energy-transition-on-faith-and-are-declining-deals-they-once-would-do,2026-05-15
BalkanGreenEnergyNews,南欧,Ag. Dimitrios shutdown today leaves Greece with last coal plant,2026-05-15,https://balkangreenenergynews.com/ag-dimitrios-shutdown-today-leaves-greece-with-last-coal-plant/,2026-05-15
GNews_StrategicEnergy,北非及中东,"PM Modi to visit UAE today; talks to focus on energy, strategic ties - lokmattimes.com",2026-05-15,https://news.google.com/rss/articles/CBMisAFBVV95cUxOU3JYZ2lmN281TTZ1OWNJbmx6elQtNDR4YjVFMkw5bUEyZ2szRXBSS0o3cnFpbzlHSzdsaFl1YzR3NHhxaXpKYmNCT1lVc3pZZGJEYzFlcXR2UTlLNm1hZHlyNVBhSkVGZ3Q1MGdTbXFLa0tDZzdsSGpnZkw3NmhFRUtIOFA4Si16Yi1QcnBwc1psTVBzVjFMQlNWSU8tX1hmdWpGTHo5ZmxMYy13RUFNTtIBtgFBVV95cUxNcThTV05kYW9vZG12bFMwOXVtV0ltNUM1dXhqd2gwYk5DNlFQWjBadDNSWWJoeWl3NW9yd2lCNVFYcEpyQVNEdXFZeV9LWTVVNzhBTG1pWWU1ZHBId19BekVSTU9MU3NOQU9wcjRzeDJJMUVoaXpDd3Noczh2dExCZXZ4akpKQ3U3SmR3MzVxem5IYTNHTFYtVUFuRUxScW1wdm9pSFQ4SFFHTWpQV2paQmxnZHZPUQ?oc=5,2026-05-15
