来源,所属区域,文章标题,发布日期,详情链接,抓取日期
Electrive,全球/其他,Ampeco teams up with Plugsurfing on roaming for eMSPs,2026-05-08,https://www.electrive.com/2026/05/08/ampeco-teams-up-with-plugsurfing-on-roaming-for-emsps/,2026-05-09
Electrive,跨区域,PPC plans 34 fast-charging sites in Greece and Romania,2026-05-08,https://www.electrive.com/2026/05/08/ppc-plans-34-fast-charging-sites-in-greece-and-romania/,2026-05-09
Electrive,全球/其他,Norwegian consortium develops inductive ship charger for offshore applications,2026-05-08,https://www.electrive.com/2026/05/08/norwegian-consortium-develops-inductive-ship-charger-for-offshore-applications/,2026-05-09
Electrive,西欧,DepotCharge: Switzerland paves the way for shared HGV depot charging network,2026-05-08,https://www.electrive.com/2026/05/08/depotcharge-switzerland-paves-the-way-for-shared-hgv-depot-charging-network/,2026-05-09
PowerTechnology,南欧,Axpo launches 200MWp Vilecha solar complex in Spain,2026-05-08,https://www.power-technology.com/news/axpo-launches-200mwp-vilecha-solar-complex/,2026-05-09
PowerTechnology,全球/其他,Elements Green acquires Newarthill BESS project,2026-05-08,https://www.power-technology.com/news/elements-green-acquires-newarthill-bess/,2026-05-09
PowerTechnology,西欧,TWP submits consent application for Bowdun wind farm in Scotland,2026-05-08,https://www.power-technology.com/news/twp-consent-bowdun-wind-farm/,2026-05-09
PowerTechnology,全球/其他,Centrica acquires Severn CCGT power station for $435m,2026-05-08,https://www.power-technology.com/news/centrica-acquires-severn-ccgt-power-station/,2026-05-09
EnergyStorageNews,全球/其他,BloombergNEF forecasts 158GW of global energy storage deployments in 2026,2026-05-08,https://www.energy-storage.news/bloombergnef-forecasts-158gw-of-global-energy-storage-deployments-in-2026/,2026-05-09
EnergyStorageNews,拉丁美洲,Innergex and Prevalon add 210MWh new capacity to existing Chile BESS,2026-05-08,https://www.energy-storage.news/innergex-and-prevalon-add-210mwh-new-capacity-to-existing-chile-bess/,2026-05-09
EnergyStorageNews,全球/其他,Ørsted purchases 150MW Michigan BESS project from ESA Solar,2026-05-08,https://www.energy-storage.news/orsted-purchases-150mw-michigan-bess-project-from-esa-solar/,2026-05-09
EnergyStorageNews,全球/其他,European ESS battery company Morrow files for bankruptcy,2026-05-08,https://www.energy-storage.news/european-ess-battery-company-morrow-files-for-bankruptcy/,2026-05-09
EnergyStorageNews,全球/其他,"VIDEO – Energy Storage Summit 2026: Role of subsidies, contracted and merchant revenues in Europe’s BESS buildout",2026-05-08,https://www.energy-storage.news/video-energy-storage-summit-2026-role-of-subsidies-contracted-and-merchant-revenues-in-europes-bess-buildout/,2026-05-09
EnergyStorageNews,大洋洲,AGL’s Liddell and Tomago battery storage systems to boost returns by 10% in Australia,2026-05-08,https://www.energy-storage.news/agls-liddell-and-tomago-battery-storage-systems-to-boost-returns-by-10-in-australia/,2026-05-09
PVMagazine,全球/其他,EU ban on Chinese inverters sparks strong response from Beijing,2026-05-08,https://www.pv-magazine.com/2026/05/08/eu-ban-on-chinese-inverters-sparks-strong-response-from-beijing/,2026-05-09
PVMagazine,南欧,Kalyon PV begins production at new TOPCon solar cell factory in Turkey,2026-05-08,https://www.pv-magazine.com/2026/05/08/kalyon-pv-begins-production-at-new-topcon-solar-cell-factory-in-turkey/,2026-05-09
PVMagazine,大洋洲,Pacific ridge reversal brings Western U.S. solar conditions back to average in April,2026-05-08,https://www.pv-magazine.com/2026/05/08/pacific-ridge-reversal-brings-western-u-s-solar-conditions-back-to-average-in-april/,2026-05-09
PVMagazine,全球/其他,Human-centered leadership in the age of AI: Why psychological safety and inclusive leadership matter for energy security,2026-05-08,https://www.pv-magazine.com/2026/05/08/human-centred-leadership-in-the-age-of-ai-why-psychological-safety-and-inclusive-leadership-matter-for-energy-security/,2026-05-09
PVMagazine,全球/其他,"Chinese PV Industry Brief: JinkoSolar, Longi, Trina Solar, JA Solar post Q1 losses",2026-05-08,https://www.pv-magazine.com/2026/05/08/chinese-pv-industry-brief-jinkosolar-longi-trina-solar-ja-solar-post-q1-losses/,2026-05-09
PVMagazine,全球/其他,The Hydrogen Stream: Nel ASA launches new pressurized alkaline electrolyzer,2026-05-08,https://www.pv-magazine.com/2026/05/08/the-hydrogen-stream-nel-asa-launches-new-pressurized-alkaline-electrolyzer/,2026-05-09
PVMagazine,北非及中东,Palestine launches program for local authority solar projects,2026-05-08,https://www.pv-magazine.com/2026/05/08/palestine-launches-program-for-local-authority-solar-projects/,2026-05-09
PVMagazine,南欧,Spain accelerates rollout of energy communities,2026-05-08,https://www.pv-magazine.com/2026/05/08/spain-accelerates-rollout-of-energy-communities/,2026-05-09
PVMagazine,西欧,"Germany risks €45 billion taxpayer hit on hydrogen overbuild, warns IEEFA",2026-05-08,https://www.pv-magazine.com/2026/05/08/germany-risks-e45-billion-taxpayer-hit-on-hydrogen-overbuild-warns-ieefa/,2026-05-09
PVMagazine,全球/其他,New electrolyte tech enables stable operation of high-voltage sodium-ion batteries,2026-05-08,https://www.pv-magazine.com/2026/05/08/new-electrolyte-tech-enables-stable-operation-of-high-voltage-sodium-ion-batteries/,2026-05-09
PVMagazine,东欧,"Czechia considers stop to double taxation on solar, storage projects",2026-05-08,https://www.pv-magazine.com/2026/05/08/czechia-considers-stop-to-double-taxation-on-solar-storage-projects/,2026-05-09
PVMagazine,全球/其他,New research uncovers interface-level physical mechanisms driving UV degradation in TOPCon solar cells,2026-05-08,https://www.pv-magazine.com/2026/05/08/new-research-uncovers-interface-level-physical-mechanisms-driving-ultraviolet-degradation-in-topcon-solar-cells/,2026-05-09
PVMagazine,全球/其他,Bandgap-engineered indoor perovskite solar cell achieves 37.44% efficiency,2026-05-08,https://www.pv-magazine.com/2026/05/08/bandgap-engineered-indoor-perovskite-solar-cell-achieves-37-44-efficiency/,2026-05-09
PVMagazine,南亚,Bhutan tenders solar projects for healthcare facilities,2026-05-08,https://www.pv-magazine.com/2026/05/08/bhutan-tenders-solar-projects-for-healthcare-facilities/,2026-05-09
PVMagazine,全球/其他,"Europe’s negative electricity price hours double in Q1 amid renewables surpluses, market imbalances",2026-05-08,https://www.pv-magazine.com/2026/05/08/europes-negative-electricity-price-hours-double-in-q1-amid-renewables-surpluses-market-imbalances/,2026-05-09
PVMagazine,全球/其他,"Meta, Amazon and J&J power Perigus Energy’s European CPPA portfolio",2026-05-08,https://www.pv-magazine.com/2026/05/08/meta-amazon-and-jj-power-perigus-energys-european-cppa-portfolio/,2026-05-09
PVMagazine,东亚,China TOPCon solar cell prices stabilize as holiday lull slows trading,2026-05-08,https://www.pv-magazine.com/2026/05/08/china-topcon-solar-cell-prices-stabilize-as-holiday-lull-slows-trading/,2026-05-09
PVMagazine,西欧,Solar backup power supports Ukrainian intensive care units during grid outages and cyberattacks,2026-05-08,https://www.pv-magazine.com/2026/05/08/solar-backup-power-supports-ukrainian-intensive-care-units-during-grid-outages-and-cyberattacks/,2026-05-09
PVMagazine,大洋洲,Remote Australian community secures permit for Sun Turtle solar and battery project,2026-05-08,https://www.pv-magazine.com/2026/05/08/remote-australian-community-secures-permit-for-sun-turtle-solar-and-battery-project/,2026-05-09
PVMagazine,全球/其他,SEG Solar to expand U.S. manufacturing with 4 GW solar module plant,2026-05-08,https://www.pv-magazine.com/2026/05/08/seg-solar-to-expand-u-s-manufacturing-with-4-gw-solar-module-plant/,2026-05-09
PVTech,全球/其他,Premium PV module prices rise in Europe despite softer April demand,2026-05-08,https://www.pv-tech.org/premium-pv-module-prices-rise-in-europe-despite-softer-april-demand/,2026-05-09
PVTech,全球/其他,"Binhai Energy terminates 15GW ingot/cell manufacturing plant, redirects resources to battery sector",2026-05-08,https://www.pv-tech.org/binhai-energy-terminates-15gw-ingot-cell-manufacturing-plant-redirects-resources-to-battery-sector/,2026-05-09
PVTech,南亚,India’s rooftop solar drives PV installations to 14.4GW in Q1 2026,2026-05-08,https://www.pv-tech.org/indias-rooftop-solar-drives-pv-installations-to-14-4gw-in-q1-2026/,2026-05-09
PVTech,南欧,Italy and the changing shape of European solar development,2026-05-08,https://www.pv-tech.org/italy-and-the-changing-shape-of-european-solar-development/,2026-05-09
PVTech,全球/其他,Goldbeck Solar lands EPC role for 268MWp Bavarian PV project,2026-05-08,https://www.pv-tech.org/goldbeck-solar-lands-epc-role-for-268mwp-bavarian-pv-project/,2026-05-09
PVTech,全球/其他,SEG Solar to open new US 4GW module assembly plant in Q3 2026,2026-05-08,https://www.pv-tech.org/seg-solar-building-new-4gw-module-assembly-plant-us/,2026-05-09
PVTech,大洋洲,Australia’s ARENA targets sub-AU$30/MWh solar to unlock 10GW annual deployment pipeline,2026-05-08,https://www.pv-tech.org/australias-arena-targets-sub-au30-mwh-solar-to-unlock-10gw-annual-deployment-pipeline/,2026-05-09
