来源,所属区域,文章标题,发布日期,详情链接,抓取日期
Electrive,全球/其他,Ekoenergetyka introduces new product brand: Axon Charger,2026-04-13,https://www.electrive.com/2026/04/13/ekoenergetyka-introduces-new-product-brand-axon-charger/,2026-04-14
Electrive,南亚,Sri Lanka urges daytime EV charging to ease grid pressure,2026-04-13,https://www.electrive.com/2026/04/13/sri-lanka-urges-daytime-ev-charging-to-ease-grid-pressure/,2026-04-14
Electrive,西欧,Austrian startup pushes for shared depot charging infrastructure,2026-04-13,https://www.electrive.com/2026/04/13/austrian-startup-pushes-for-shared-depot-charging-infrastructure/,2026-04-14
Electrive,南欧,XCharge sets up European plant in Spain,2026-04-13,https://www.electrive.com/2026/04/13/xcharge-sets-up-european-plant-in-spain/,2026-04-14
PowerTechnology,全球/其他,Palisade to acquire 240MW/960MWh Summerfield BESS,2026-04-13,https://www.power-technology.com/news/palisade-to-acquire-summerfield-bess/,2026-04-14
PowerTechnology,全球/其他,ANDRITZ hydropower surge drives record €3.6bn order intake in Q1 2026,2026-04-13,https://www.power-technology.com/news/andritz-hydropower-surge-drives-record-e3-6bn-order-intake-in-q1-2026/,2026-04-14
PowerTechnology,全球/其他,Vineyard Wind sues GE Vernova over $4.5bn offshore wind project,2026-04-13,https://www.power-technology.com/news/vineyard-wind-sues-ge-vernova/,2026-04-14
PowerTechnology,全球/其他,IESO signs 20-year contracts for 14 renewable energy projects,2026-04-13,https://www.power-technology.com/news/ieso-20-year-contracts-14-renewable-projects/,2026-04-14
PowerTechnology,全球/其他,"Envision Energy, BBVA sign $500m vendor financing agreement",2026-04-13,https://www.power-technology.com/news/envision-energy-bbva-financing-agreement/,2026-04-14
EnergyStorageNews,拉丁美洲,"Brazil’s electricity regulator ANEEL delays energy storage rulemaking, approves hybrid solar-BESS",2026-04-13,https://www.energy-storage.news/brazils-electricity-regulator-aneel-delays-energy-storage-rulemaking-approves-hybrid-solar-bess/,2026-04-14
EnergyStorageNews,全球/其他,System integrator Guoxia’s revenue and profits surge over 100% amidst shift to utility-scale,2026-04-13,https://www.energy-storage.news/system-integrator-guoxias-revenue-and-profits-surge-over-100-amidst-shift-to-utility-scale/,2026-04-14
EnergyStorageNews,大洋洲,NSW planners approve Foresight’s 150MWh BESS; Banpu submits 1GWh development to Australia’s EPBC Act,2026-04-13,https://www.energy-storage.news/nsw-planners-approve-foresights-150mwh-bess-banpu-submits-1gwh-development-to-australias-epbc-act/,2026-04-14
PVMagazine,全球/其他,"Halocell Energy, Sofab Inks advance perovskite collaboration",2026-04-13,https://www.pv-magazine.com/2026/04/13/halocell-energy-sofab-inks-advance-perovskite-collaboration/,2026-04-14
PVMagazine,全球/其他,Managing cyber risks in the era of decentralized energy,2026-04-13,https://www.pv-magazine.com/2026/04/13/managing-cyber-risks-in-the-era-of-decentralized-energy/,2026-04-14
PVMagazine,全球/其他,St. Kitts and Nevis tenders major solar-storage project,2026-04-13,https://www.pv-magazine.com/2026/04/13/st-kitts-and-nevis-tenders-major-solar-storage-project/,2026-04-14
PVMagazine,全球/其他,Dismantled 28-year-old PV system reveals wasps nest in junction box,2026-04-13,https://www.pv-magazine.com/2026/04/13/dismantled-28-year-old-pv-system-reveals-wasps-nest-in-junction-box/,2026-04-14
PVMagazine,全球/其他,"Fortescue fast-tracks delivery of ‘world first’ off-grid project combining solar, wind, up to 5 GWh of BESS",2026-04-13,https://www.pv-magazine.com/2026/04/13/fortescue-fast-tracks-delivery-of-world-first-off-grid-project-combining-solar-wind-up-to-5-gwh-of-bess/,2026-04-14
PVMagazine,全球/其他,First solar project backed by EU’s cross-border tender starts operating,2026-04-13,https://www.pv-magazine.com/2026/04/13/first-solar-project-backed-by-eus-cross-border-tender-starts-operating/,2026-04-14
PVMagazine,全球/其他,"Cooling solar modules with nanofluids based on graphene oxide, Mxene",2026-04-13,https://www.pv-magazine.com/2026/04/13/cooling-solar-modules-with-nanofluids-based-on-graphene-oxide-mxene/,2026-04-14
PVMagazine,全球/其他,MyNu Energy launches mobile solar and battery energy storage system,2026-04-13,https://www.pv-magazine.com/2026/04/13/mynu-energy-launches-mobile-solar-and-battery-energy-storage-system/,2026-04-14
PVMagazine,全球/其他,Cyber threats for PV: What are man-in-the-middle attacks and how do they work,2026-04-13,https://www.pv-magazine.com/2026/04/13/cyber-threats-for-pv-what-are-man-in-the-middle-attacks-and-how-do-they-work/,2026-04-14
PVMagazine,南亚,"Jupiter, AMPIN open 1.3 GW solar factory in India",2026-04-13,https://www.pv-magazine.com/2026/04/13/jupiter-ampin-open-1-3-gw-solar-factory-in-india/,2026-04-14
PVMagazine,全球/其他,Solar leads global additions in 2025 as wind growth accelerates,2026-04-13,https://www.pv-magazine.com/2026/04/13/solar-leads-global-additions-in-2025-as-wind-growth-accelerates/,2026-04-14
PVMagazine,东亚,World’s largest PV-CSP plant under construction in China,2026-04-13,https://www.pv-magazine.com/2026/04/13/worlds-largest-pv-csp-plant-under-construction-in-china/,2026-04-14
PVMagazine,全球/其他,"U.S. startup debuts low-cost, plug-and-play indoor heat pump for residential use",2026-04-13,https://www.pv-magazine.com/2026/04/13/u-s-startup-debuts-low-cost-plug-and-play-indoor-heat-pump-for-residential-use/,2026-04-14
PVTech,全球/其他,IRENA: Incentivise renewables deployment to minimise impacts of global energy shock,2026-04-13,https://www.pv-tech.org/irena-incentivise-renewable-deployment-minimise-impacts-global-power-price-disruption/,2026-04-14
PVTech,跨区域,Oman’s Naqaa Sustainable Energy to lead 500MW Botswana PV project—reports,2026-04-13,https://www.pv-tech.org/omans-naqaa-sustainable-energy-to-lead-500mw-botswana-pv-project-reports/,2026-04-14
PVTech,全球/其他,Vikram Solar doubles PV deployments to 10GW,2026-04-13,https://www.pv-tech.org/vikram-solar-doubles-pv-deployments-to-10gw/,2026-04-14
PVTech,全球/其他,US DOE proposes 52% cut to National Laboratory of the Rockies funding,2026-04-13,https://www.pv-tech.org/us-doe-proposes-52-cut-to-national-laboratory-of-the-rockies-funding/,2026-04-14
PVTech,南亚,Why DISCOM health holds the key to India’s solar future,2026-04-13,https://www.pv-tech.org/why-discom-health-holds-the-key-to-indias-solar-future/,2026-04-14
PVTech,全球/其他,"Ontario awards contracts for 1.3GW of renewable energy, 915MW of solar",2026-04-13,https://www.pv-tech.org/ontario-awards-contracts-1-3gw-renewable-energy-915mw-solar/,2026-04-14
EnergyCapitalPow,全球/其他,LPG Prices Surge 13% as Geopolitics and Policy Gaps Weigh on African Markets,2026-04-13,https://energycapitalpower.com/lpg-prices-surge-13-as-geopolitics-and-policy-gaps-weigh-on-african-markets/,2026-04-14
EnergyCapitalPow,北非及中东,Libya Doubles Down on Fast-Track Oil Growth with 3 New Discoveries,2026-04-13,https://energycapitalpower.com/libya-doubles-down-on-fast-track-oil-growth-with-3-new-discoveries/,2026-04-14
EnergyCapitalPow,非洲南部,bp Enters Namibia Offshore Exploration With 3-Block Deal,2026-04-13,https://energycapitalpower.com/bp-enters-namibia-offshore-exploration-with-3-block-deal/,2026-04-14
EnergyCapitalPow,全球/其他,APPO Targets Three Million BPD Refining Capacity for Africa by 2035,2026-04-13,https://energycapitalpower.com/appo-targets-three-million-bpd-refining-capacity-for-africa-by-2035/,2026-04-14
EnergyCapitalPow,东非,East African Ports Emerge as Global Trade’s New Gatekeepers,2026-04-13,https://energycapitalpower.com/east-african-ports-emerge-as-global-trades-new-gatekeepers/,2026-04-14
