来源,所属区域,文章标题,发布日期,详情链接,抓取日期
Electrive,全球/其他,SBRS introduces 500 kW charging system for commercial vehicles,2026-05-19,https://www.electrive.com/2026/05/19/sbrs-introduces-500-kw-charging-system-for-commercial-vehicles/,2026-05-25
Electrive,全球/其他,"Reading to install 2,600 on-street EV charge points with char.gy",2026-05-19,https://www.electrive.com/2026/05/19/reading-to-install-2600-on-street-ev-charge-points-with-char-gy/,2026-05-25
Electrive,西欧,Pod Point acquires EO Charging in the UK,2026-05-19,https://www.electrive.com/2026/05/19/pod-point-acquires-eo-charging-in-the-uk/,2026-05-25
PowerTechnology,东南亚,SK Innovation begins construction on LNG-fired power plant in Vietnam,2026-05-19,https://www.power-technology.com/news/sk-innovation-begins-construction-lng-fired-power-plant/,2026-05-25
PowerTechnology,南亚,Geothermal emerges as scalable energy source for India,2026-05-19,https://www.power-technology.com/news/geothermal-emerges-as-scalable-energy-source-for-india/,2026-05-25
PowerTechnology,全球/其他,"Boskalis to expand fleet with 24,000t cable installation vessel",2026-05-19,https://www.power-technology.com/news/boskalis-expand-24000t-vessel/,2026-05-25
PowerTechnology,全球/其他,AmpereHour and IndiGrid start up 180MW BESS in Gujarat,2026-05-19,https://www.power-technology.com/news/amperehour-indigrid-start-180mw-360mwh-bess-gujarat/,2026-05-25
PowerTechnology,全球/其他,US utilities NextEra and Dominion agree to $66.8bn all-share merger,2026-05-19,https://www.power-technology.com/news/nextera-dominion-agree-merger/,2026-05-25
EnergyStorageNews,西欧,Lenders now actively financing merchant BESS projects in Germany,2026-05-19,https://www.energy-storage.news/lenders-now-actively-financing-merchant-bess-projects-in-germany/,2026-05-25
EnergyStorageNews,全球/其他,"EU Project Roundup: Neoen, Nofar, Enka, Return, RWE, Repono and others progress 3.3GWh of BESS capacity",2026-05-19,https://www.energy-storage.news/eu-project-roundup-neoen-nofar-enka-return-rwe-repono-and-others-progress-3-3gwh-of-bess-capacity/,2026-05-25
EnergyStorageNews,北美,"Ford Energy makes 20GWh, five-year North America supply deal with EDF",2026-05-19,https://www.energy-storage.news/ford-energy-makes-20gwh-five-year-north-america-supply-deal-with-edf/,2026-05-25
