来源,所属区域,文章标题,发布日期,详情链接,抓取日期
Electrive,全球/其他,Targeted thefts force HPC charging stations offline near Naples,2026-05-21,https://www.electrive.com/2026/05/21/targeted-thefts-force-hpc-charging-stations-offline-near-naples/,2026-05-25
Electrive,西欧,“Europe must close ranks on bidirectional charging” as Germany dawdles,2026-05-21,https://www.electrive.com/2026/05/21/europe-must-close-ranks-on-bidirectional-charging-as-germany-gets-caught-in-red-tape/,2026-05-25
Electrive,全球/其他,"Hanoi to get 1,000 battery-swapping stations",2026-05-21,https://www.electrive.com/2026/05/21/hanoi-to-get-1000-battery-swapping-stations/,2026-05-25
Electrive,全球/其他,Netze BW launches real-world pilot for grid-friendly electric truck charging,2026-05-21,https://www.electrive.com/2026/05/21/netze-bw-launches-real-world-pilot-for-grid-friendly-electric-truck-charging/,2026-05-25
Electrive,全球/其他,DKV launches charging card for electric trucks,2026-05-21,https://www.electrive.com/2026/05/21/dkv-launches-charging-card-for-electric-trucks/,2026-05-25
PowerTechnology,全球/其他,Grenergy to deploy 1.5GWh of CATL batteries at Oviedo and Escuderos,2026-05-21,https://www.power-technology.com/news/grenergy-deploy-catl-batteries-oviedo-escuderos/,2026-05-25
PowerTechnology,全球/其他,Statkraft to reinvest Nkr80bn in Norwegian hydropower,2026-05-21,https://www.power-technology.com/news/statkraft-to-reinvest-nkr80bn-in-norwegian-hydropower/,2026-05-25
PowerTechnology,全球/其他,TerraPower teams up with HD Hyundai on Natrium reactor fleet,2026-05-21,https://www.power-technology.com/news/terrapower-teams-up-with-hd-hyundai-on-natrium-reactor-fleet/,2026-05-25
PowerTechnology,北欧,Vattenfall officially opens 139MW Bruzaholm wind farm in Sweden,2026-05-21,https://www.power-technology.com/news/vattenfall-opens-bruzaholm-wind-farm/,2026-05-25
PowerTechnology,西欧,New South Wales opens Tender 8 for 2.5GW of renewable capacity,2026-05-21,https://www.power-technology.com/news/nsw-opens-tender-8/,2026-05-25
PowerTechnology,全球/其他,GridStor buys Accelergen’s Birdseye battery project in Colorado,2026-05-21,https://www.power-technology.com/news/gridstor-buys-birdseye-battery-project-colorado/,2026-05-25
EnergyStorageNews,全球/其他,"US ROUNDUP: BESS project advancements from OCI Energy, MN8 Energy, GridStor, Grenergy",2026-05-21,https://www.energy-storage.news/us-roundup-bess-project-advancements-from-oci-energy-mn8-energy-gridstor-grenergy/,2026-05-25
EnergyStorageNews,西欧,"Invinity lands contract for 2.1GWh flow battery in Switzerland, share price soars 60%",2026-05-21,https://www.energy-storage.news/invinity-lands-contract-for-2-1gwh-flow-battery-in-switzerland-share-price-soars-60/,2026-05-25
EnergyStorageNews,东亚,China’s HyperStrong deepens ties with European inverter manufacturer SMA for global utility-scale BESS projects,2026-05-21,https://www.energy-storage.news/chinas-hyperstrong-deepens-ties-with-european-inverter-manufacturer-sma-for-global-utility-scale-bess-projects/,2026-05-25
EnergyStorageNews,东南亚,ASEAN regulatory frameworks ‘must evolve’ to capture full value of battery storage,2026-05-21,https://www.energy-storage.news/asean-regulatory-frameworks-must-evolve-to-capture-full-value-of-battery-storage/,2026-05-25
