来源,所属区域,文章标题,发布日期,详情链接,抓取日期
BalkanGreenEnergyNews,全球/其他,Western Balkans request earlier exemption of electricity from CBAM,2026-05-06,https://balkangreenenergynews.com/western-balkans-request-earlier-exemption-of-electricity-from-cbam/,2026-05-06
Electrive,全球/其他,ABB presents charging system for 100+ charge points and 10 MW output,2026-05-06,https://www.electrive.com/2026/05/06/abb-presents-charging-system-for-100-charge-points-and-10-mw-output/,2026-05-07
Electrive,全球/其他,Rocsys presents charging robot for ports and logistics fleets,2026-05-06,https://www.electrive.com/2026/05/06/rocsys-presents-charging-robot-for-ports-and-logistics-fleets/,2026-05-07
Electrive,全球/其他,Milence secures multi-million-euro financing,2026-05-06,https://www.electrive.com/2026/05/06/milence-secures-multi-million-euro-financing/,2026-05-07
Electrive,全球/其他,Greenlane expands electric truck charging network into Texas,2026-05-06,https://www.electrive.com/2026/05/06/greenlane-expands-electric-truck-charging-network-into-texas/,2026-05-07
PowerTechnology,全球/其他,US offshore wind “not a dead industry” – Oceantic Network CEO,2026-05-06,https://www.power-technology.com/news/us-offshore-wind-not-a-dead-industry/,2026-05-07
PowerTechnology,全球/其他,Octopus Energy invests $683m in European wind energy sites,2026-05-06,https://www.power-technology.com/news/octopus-energy-invests-european-wind-sites/,2026-05-07
PowerTechnology,北非及中东,EWEC and Masdar agree on framework to boost renewable energy in UAE,2026-05-06,https://www.power-technology.com/news/ewec-masdar-renewable-energy/,2026-05-07
PowerTechnology,全球/其他,Longroad Energy’s Sun Pond project in US begins operations,2026-05-06,https://www.power-technology.com/news/longroad-energys-sun-pond-project/,2026-05-07
PowerTechnology,全球/其他,AEP Q1 2026 GAAP earnings rise 9% to $874m,2026-05-06,https://www.power-technology.com/news/aep-q1-2026-gaap-earnings-874m/,2026-05-07
EnergyStorageNews,大洋洲,Australia: Queensland becomes first NEM state to discharge over 100GWh from battery storage in a month,2026-05-06,https://www.energy-storage.news/australia-queensland-becomes-first-nem-state-to-discharge-over-100gwh-from-battery-storage-in-a-month/,2026-05-07
